MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,Baro_AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
118,-63,12,11/07/2024 13:29:34,4.74,8.41,0.62,-1,5.32,-1.96,7.84,-47.02,32.28,26.52,-2.47,23.68,7.27,0.04,999.89,111.74,0,0
120,-43,12,11/07/2024 13:29:35,1.33,9.55,-0.29,-3.71,-6.04,26.98,-3.91,-41.13,29.48,18.76,2.29,24.8,8.38,0.04,999.89,111.74,0,0
115,-42,12,11/07/2024 13:29:36,0.56,9.65,0.46,4.01,-1.21,2.38,-7.64,-34.52,1.91,13.49,0.52,3.44,8.48,0.04,999.94,111.37,0,0
119,-44,12,11/07/2024 13:29:37,0.3,9.5,0.52,-0.02,6.89,3.2,-13.41,-35.11,18.1,14.28,-3.01,-0.46,8.34,0.04,999.92,111.55,0,0
120,-46,12,11/07/2024 13:29:38,-0.21,9.69,0.11,4.57,-30.08,1.17,-21.48,-33.94,6.01,13.25,-2.84,-0.11,8.53,0.04,999.94,111.37,0,0
123,-51,13,11/07/2024 13:29:39,-2.12,7.74,5.74,15.38,-19.69,12.83,-14.3,-31.51,9.93,10.58,-19.47,-3.63,6.61,0.03,999.96,111.19,0,0
121,-47,12,11/07/2024 13:29:40,-2.48,7.95,5.86,0.68,0.89,0.28,-15.93,-34.77,11.38,25.69,-38.25,-19.28,6.81,0.03,999.97,111.1,0,0
122,-40,12,11/07/2024 13:29:41,-0.48,9.61,0.47,8.33,1.68,-9.69,-10.23,-39.26,31.68,30.74,-19.17,-13.61,8.45,0.04,999.81,112.43,0,0
123,-43,12,11/07/2024 13:29:42,-0.52,9.42,-0.75,-37.35,-6.93,-0.02,-15.09,-34.58,7.4,32.07,-4.33,-2.7,8.26,0.04,999.91,111.63,0,0
116,-46,12,11/07/2024 13:29:43,0.93,7.57,-5.46,6.96,6.25,1.47,1.91,-27.53,64.69,36.81,31.71,3.72,6.45,0.03,999.94,111.36,0,0
119,-44,12,11/07/2024 13:29:44,0.83,7.72,-4.8,37.69,-4.34,5.76,-4.47,-30.02,53.11,39.15,45.03,7.62,6.6,0.03,999.82,112.35,0,0
121,-42,12,11/07/2024 13:29:45,-0.16,9.56,-1.04,-2.96,-3.88,10.31,-9.8,-35.07,27.24,33.61,12.37,1.81,8.4,0.04,999.97,111.1,0,0
122,-49,12,11/07/2024 13:29:46,-2.42,8.63,3.66,32.15,0.54,16.43,-17.79,-31.86,-0.91,31.17,-5.24,-3.81,7.48,0.04,1000.02,110.66,0,0
124,-39,12,11/07/2024 13:29:47,-1.7,9.18,3.04,-45.9,5.49,-25.34,-1.65,-36.85,40.4,39,-31.15,-20.48,8.03,0.04,999.96,111.2,0,0
122,-42,12,11/07/2024 13:29:48,-0.71,9.95,-0.02,-2.35,-7.54,0.49,-16.42,-34.85,22.47,39.67,-6.24,-7.28,8.78,0.04,999.87,111.89,0,0
119,-50,12,11/07/2024 13:29:49,0.87,8.9,-4.39,-9.82,3.33,-2.38,-6.87,-32.61,46.38,46.03,16.71,0.72,7.75,0.04,999.88,111.82,0,0
122,-40,12,11/07/2024 13:29:50,-0.28,8.77,-1.62,64.21,-21.47,24.92,-6.12,-39.29,50.58,48.33,33.49,8.57,7.62,0.04,999.84,112.18,0,0
123,-45,12,11/07/2024 13:29:51,-1.39,9.68,-0.93,-18.6,21.87,24.2,-19.96,-33.16,13.07,42.12,1.47,-3.36,8.52,0.04,999.91,111.56,0,0
121,-47,13,11/07/2024 13:29:52,-6.99,7.18,-1.2,7.09,10.36,0.45,-29.81,-19.02,36.3,48.05,4.89,-33.57,6.06,0.03,999.88,111.82,0,0
124,-43,11,11/07/2024 13:29:53,-6.54,6.58,-0.85,-0.28,-15.22,14.44,-30.26,-12.64,22.21,50.47,4.12,-49.65,5.48,0.03,999.85,112.1,0,0
122,-40,12,11/07/2024 13:29:54,-1.39,9.23,-0.6,6.68,-5.32,-1.28,-18.39,-35.07,23.87,55.93,6.62,-34.79,8.08,0.04,999.87,111.92,0,0
118,-40,12,11/07/2024 13:29:55,2.79,9.58,1.23,46.51,9.71,-66.29,-6.89,-41.02,6.59,61.72,4.35,-6.69,8.42,0.04,999.96,111.19,0,0
118,-48,12,11/07/2024 13:29:56,2.71,9.45,2.16,4.87,-0.61,5.25,2.11,-44.88,26.58,56.31,-13.83,23.41,8.29,0.04,999.89,111.74,0,0
121,-42,12,11/07/2024 13:29:57,-1.31,9.33,-0.69,18.97,-4.03,-1.64,-19.73,-32.41,9.71,59.93,-2.66,1.98,8.17,0.04,999.94,111.38,0,0
122,-41,12,11/07/2024 13:29:58,-0.43,7.7,-4.13,9.13,-0.49,-2.54,-12.8,-26.99,31.11,58.17,13.25,-6.4,6.58,0.03,999.87,111.93,0,0
119,-41,12,11/07/2024 13:29:59,0.34,9.62,0.17,60.11,2.17,12.3,-5.07,-37.34,34.39,58.61,26.39,-0.24,8.46,0.04,999.84,112.19,0,0
121,-48,12,01/01/0001 00:00:00,-1.11,10.11,0.07,19.67,-0.04,1.45,-17.69,-34.14,11.53,59.65,-0.2,-3.81,8.94,0.04,999.84,112.19,0,0
121,-49,12,01/01/0001 00:00:00,-2.33,7.95,5.15,4.72,-1.35,0.56,-18.54,-34.23,17.14,59.84,-29.23,-14.4,6.82,0.03,999.92,111.55,0,0
122,-55,12,01/01/0001 00:00:00,-2.43,7.89,5.28,-0.12,11.32,4.36,-14.56,-32.98,14.3,60.96,-37.43,-20.31,6.76,0.03,999.99,110.95,0,0
121,-60,12,01/01/0001 00:00:00,-1.56,8.69,3.77,-4.87,-5.13,1.54,-13.64,-32.22,1.77,58.6,-33.32,-12.65,7.54,0.04,999.98,111.02,0,0
122,-43,12,01/01/0001 00:00:00,-1.07,9.15,3.42,-20.61,-20.25,-6.09,0.53,-33.58,19.05,52.62,-25.26,-7.2,8,0.04,999.89,111.74,0,0
117,-46,12,01/01/0001 00:00:00,0,9.87,0.1,3.92,-4.09,1.82,-18.17,-35.06,9.4,48.97,-0.81,-2.46,8.7,0.04,999.85,112.1,0,0
119,-52,12,01/01/0001 00:00:00,0,9.68,-0.4,-40.63,-4.32,-3.03,-15.43,-35.93,6.95,47.23,1.42,0.02,8.52,0.04,999.89,111.74,0,0
117,-52,12,01/01/0001 00:00:00,0.32,7.9,-5.41,2.61,-3.31,3.24,-5.83,-30.59,56.31,45.2,32.1,1.89,6.77,0.03,999.9,111.66,0,0
118,-56,13,01/01/0001 00:00:00,0.14,8.05,-5.12,3.94,-3.18,1.61,-12.99,-32.08,38.91,41.6,39.81,1.1,6.91,0.03,999.89,111.74,0,0
119,-47,12,01/01/0001 00:00:00,0.34,8.15,-5.42,17.55,-0.75,1.45,-11.68,-30.09,34.96,39.55,37.77,1.64,7.01,0.04,999.93,111.73,0,0
119,-46,12,11/07/2024 13:30:10,0.01,9.63,-1.06,8.87,-3.8,1.26,-3.32,-35.14,19.95,34.85,14.03,-0.44,8.47,0.04,999.89,111.74,0,0
